Scenario,Period,LoadLevel,BrownLignite,CCGT_1,CCGT_2,CCGT_3,CCGT_4,DomesticCoal_Anthracite,ESS1,FuelOilGas,ImportedCoal_Bituminous,ImportedCoal_SubBituminous,Nuclear,OCGT_1,OCGT_2,OCGT_3
sc01,y2030,2030-01-01T03:00:00+01:00,0.0,0.0,11.288899769999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9641847650000007,0.0
sc01,y2030,2030-01-01T07:00:00+01:00,0.0,0.0,11.288899769999999,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc01,y2030,2030-01-01T11:00:00+01:00,0.0,0.0,12.477678725,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc01,y2030,2030-01-01T15:00:00+01:00,0.0,0.0,13.343805462500004,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc01,y2030,2030-01-01T19:00:00+01:00,0.0,400.0,13.665747845000007,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,1.1809140299999972,0.0
sc01,y2030,2030-01-01T23:00:00+01:00,0.0,0.0,13.665747845000006,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc01,y2030,2030-01-02T03:00:00+01:00,0.0,0.0,12.02009817750001,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc01,y2030,2030-01-02T07:00:00+01:00,0.0,400.0,14.264492332500007,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc01,y2030,2030-01-02T11:00:00+01:00,0.0,400.0,15.89890652500002,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,1.1610137099999813,0.0
sc01,y2030,2030-01-02T15:00:00+01:00,0.0,400.0,15.89890652500002,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,1.39736755499998,0.0
sc01,y2030,2030-01-02T19:00:00+01:00,0.0,0.0,15.89890652500002,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,2.137646207499972,0.0
sc01,y2030,2030-01-02T23:00:00+01:00,0.0,400.0,15.507718735,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc01,y2030,2030-01-03T03:00:00+01:00,0.0,400.0,13.445259024999995,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc01,y2030,2030-01-03T07:00:00+01:00,0.0,400.0,15.560418569999994,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
